estuary_raw,estuary,country,period,intervention_type,description,sources,intervention_type_norm
Columbia,Columbia,USA,1882,Channel Deepening,Maintenance depth Columbia River Mouth of -9.1m MLLW,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1899,Channel Deepening,Maintenance depth Columbia River Channel of -7.6m MLLW,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1905,Channel Deepening,Maintenance depth Columbia River Mouth of -12.2m MLLW,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1912,Channel Deepening,Maintenance depth Columbia River Channel of -9.1m MLLW and 91m width,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1930,Channel Deepening,Maintenance depth Columbia River Channel of -10.7m MLLW and 152m width,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1954,Channel Deepening,Maintenance depth Columbia River Mouth of -14.6m  MLLW,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1962,Channel Deepening,Maintenance depth Columbia River Channel of -12.2m MLLW and 183m width,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1999,Channel Deepening,Maintenance depth Columbia River Channel of -13.1m MLLW,Helaire et al. (2019),Channel Deepening
Columbia,Columbia,USA,1880-1940,Land Reclamation,">50% of wetlands lost (~31,500 acres), with reclamation peaking in 1936-1940",Marcoe & Pilson (2017); Templeton et al. (2024),Land Reclamation
Columbia,Columbia,USA,2004-Present,Restoration Efforts,CEERP began in ~2004 restoring tidal floorplains. ~9% of recoverable floodplain restored by 2021 by levee breaching and reconnection of tidal wetlands,Templeton et al. (2024),Restoration
Columbia,Columbia,USA,1934-1937,Tidal Barrier,"Completion Bonneville Dam at ~226km from Columbia River Mouth. Before the construction of Bonneville dam, the tidal limit was located at Cascades Rapids (at ~231km)",Helaire et al. (2019); Templeton et al. (2024),Tidal Barrier
Columbia,Columbia,USA,1913,Changes to Inlet Geometry,South Jetty extended seasward by 7km,Helaire et al. (2019),Inlet Geometry Changes
Connecticut River,Connecticut,USA,1840-1970,Altered Flow Regime,Gradual Alteration of Flow Regime by many smaller hydropower and flood control dams,,Altered Flow Regime
Connecticut River,Connecticut,USA,1872,Changes to Inlet Geometry,Construction of Old Saybrook Entrance Jetties,,Inlet Geometry Changes
Connecticut River,Connecticut,USA,1946,Channel Deepening,Maintenance depth at -4.6m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Connecticut River,Connecticut,USA,1836,Channel Deepening / Changes to Inlet Geometry,Initial dredging of Saybrook Bar (entrance of Connecticut),Love (1903),Channel Deepening
Connecticut River,Connecticut,USA,1994,Miscellaneous,Tidal Wetlands of Lower Connecticu River estuary listed as Ramsar Wetland of International Importance hereby ensuring protection and management,https://rsis.ramsar.org/ris/710,Other
Connecticut River,Connecticut,USA,1827,Tidal Barrier,Construction of Enfield Dam,,Tidal Barrier
Coos Bay,Coos_Bay,USA,1880-1914,Changes to Inlet Geometry,"Jettying of Estuary Mouth, reducing the inlet width from 1.3km to 0.62km",Eidam et al. (2021; 2022),Inlet Geometry Changes
Coos Bay,Coos_Bay,USA,1912,Channel Deepening,Maintenance depth Entrance to Istmough Slough -5.2m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Coos Bay,Coos_Bay,USA,1919,Channel Deepening,Maintenance depth Entrance to Istmough Slough -6.1m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Coos Bay,Coos_Bay,USA,1951,Channel Deepening,Maintenance depth Entrance to Istmough Slough -7.9m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Coos Bay,Coos_Bay,USA,1967,Channel Deepening,Maintenance depth Entrance to Istmough Slough -9.1m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Coos Bay,Coos_Bay,USA,1983,Channel Deepening,Maintenance depth Entrance to Istmough Slough -10.7m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Coos Bay,Coos_Bay,USA,2011,Channel Deepening,Maintenance depth Entrance to Istmough Slough -11.3m MLLW and width of 94.4m,https://historicalcharts.noaa.gov/,Channel Deepening
Coos Bay,Coos_Bay,USA,2022,Channel Deepening,Plans to deepen the channel to 14 m and widen by 45 m for LNG terminal access (Jordan Cove project).,Eidam et al. (2021; 2022),Channel Deepening
Coos Bay,Coos_Bay,USA,1992,Land Reclamation,Runway Extended North Bend Airport,Eidam et al. (2021; 2022),Land Reclamation
Coos Bay,Coos_Bay,USA,1910-1970,Land Reclamation,"Major period of intertidal filling for urban, industrial, and transportation infrastructure. Estuary area reduced by ~12%.",Eidam et al. (2021; 2022),Land Reclamation
Coos Bay,Coos_Bay,USA,1944-1953,Land Reclamation,North Bend airport built on filled marshland,Eidam et al. (2021; 2022),Land Reclamation
Coos Bay,Coos_Bay,USA,1930-1970,Miscellaneous,"Dredge spoils dumped on intertidal flats, especially east of the main channel.",Eidam et al. (2021; 2022),Other
Coos Bay,Coos_Bay,USA,1940-1944,Network Reconfiguration,Coos River rerouted from eastern flats into Marshfield Channel to support port development.,Eidam et al. (2021; 2022),Channel Network Changes
Delaware River,Delaware,USA,1950-1980,Altered Flow Regime,"Dam/Reservoir Construction in Catchment Delaware; e.g. Pepacton Dam, Cannonsville Reservoir, etc.","https://en.wikipedia.org/wiki/Cannonsville_Reservoir, https://en.wikipedia.org/wiki/Pepacton_Reservoir  https://www.nyc.",Altered Flow Regime
Delaware River,Delaware,USA,1898,Channel Deepening,Maintenance depths set at -7.9m MLLW; beginning of federally maintanted shipping channel,Parejo-Roman et al. (2020),Channel Deepening
Delaware River,Delaware,USA,1910,Channel Deepening,Maintenance depths set at -9.1m MLLW,Parejo-Roman et al. (2020),Channel Deepening
Delaware River,Delaware,USA,1926,Channel Deepening,Maintenance depths set at -10.7m MLLW,Parejo-Roman et al. (2020),Channel Deepening
Delaware River,Delaware,USA,1940,Channel Deepening,Maintenance depths set at -12.2m MLLW,Parejo-Roman et al. (2020),Channel Deepening
Delaware River,Delaware,USA,2014,Channel Deepening,Maintenance depths set at -13.7m MLLW,Parejo-Roman et al. (2020),Channel Deepening
Delaware River,Delaware,USA,1897,Miscellaneous,Removal of Smiths and Windmill Island from Delaware River to improve navigation,https://philadelphiaencyclopedia.org/essays/smiths-and-windmill-islands,Other
Delaware River,Delaware,USA,1829,Network Reconfiguration,Construction of Chesapeake & Delaware Canal  (with locks),https://en.wikipedia.org/wiki/Chesapeake_%26_Delaware_Canal,Channel Network Changes
Delaware River,Delaware,USA,1927-1929,Network Reconfiguration,"Chesapeake & Delaware Canal converted to sea-level ship canal (no locks), ~3.7m deep and 27m wide, improving tidal connectivity between bays.",https://en.wikipedia.org/wiki/Chesapeake_%26_Delaware_Canal,Channel Network Changes
Delaware River,Delaware,USA,1935–1938,Network Reconfiguration,Chesapeake & Delaware Canal deepened to -8.2m MLLW,https://en.wikipedia.org/wiki/Chesapeake_%26_Delaware_Canal,Channel Network Changes
Delaware River,Delaware,USA,1970s,Network Reconfiguration,Chesapeake & Delaware Canal deepened to -10.7m MLLW,https://en.wikipedia.org/wiki/Chesapeake_%26_Delaware_Canal,Channel Network Changes
Hudson River,Hudson,USA,1930,Altered Flow Regime,"Construction Conklingville Dam (Sacandaga Reservoir) built for flood control, reducing freshed peaks",Ralston et al. (2019),Altered Flow Regime
Hudson River,Hudson,USA,1860-1880,Channel Deepening,Initial dredging to Albany to maintenance depth -3m,Ralston et al. (2019),Channel Deepening
Hudson River,Hudson,USA,1892-1910,Channel Deepening,Maintenance depth to Albany increased to -3.7m MLLW,Schureman (1934),Channel Deepening
Hudson River,Hudson,USA,1899-1914,Channel Deepening,Dredging of Ambrose Channel in New York Harbor to depth of 12m,Ralston et al. (2019),Channel Deepening
Hudson River,Hudson,USA,1920-1930,Channel Deepening,Maintenance depth to Albany increased to -9.8m MLLW,Ralston et al. (2019); Schureman (1934),Channel Deepening
Hudson River,Hudson,USA,1990-2010,Channel Deepening,New York Harbor channels deepened to 15-16m for Panamax/post-Panamax ships,Ralston et al. (2019),Channel Deepening
Hudson River,Hudson,USA,1940-1960,Network Reconfiguration,Continued Dredging and disposal in side channels resulting in conversion of braided network to single channel.,Ralston et al. (2019),Channel Network Changes
Hudson River,Hudson,USA,1832,Tidal Barrier,Construction of Troy State Dam (set the head of the tide near Troy),Schureman (1934),Tidal Barrier
James River,James,USA,1884-1966,Channel Deepening,"James River Federal Navigation Project Authorized, Current project depth is -7.6m MLLW","https://www.nao.usace.army.mil/About/Projects/James-River-Navigation , https://historicalcharts.noaa.gov/",Channel Deepening
James River,James,USA,1864-1870,Channel Straightening,Dutch Gap Canal Cut to bypass long meander,https://en.wikipedia.org/wiki/Dutch_Gap_Canal,Channel Straightening
Potomac River,Potomac,USA,1950's - 1980's,Altered Flow Regime,"Dam/Reservoir Construction in Catchment Potomac; e.g. Little Falls Dam, Jennings Randolph Lake","https://en.wikipedia.org/wiki/Little_Falls_Dam_(Potomac_River) , https://en.wikipedia.org/wiki/Jennings_Randolph_Lake",Altered Flow Regime
Potomac River,Potomac,USA,1860's-1870's,Channel Deepening,Maintenance Depth of navigation channels at -4.6m MLLW,https://www.nps.gov/articles/history-archeology-of-dc-flood-abatement-part-2.htm,Channel Deepening
Potomac River,Potomac,USA,1935-1940,Channel Deepening,Maintenance Depth of navigation channels increased to -7.3m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
Potomac River,Potomac,USA,1882,Land Reclamation,Start of Potomac Flats reclamation project,https://www.nps.gov/articles/history-archeology-of-dc-flood-abatement-part-2.htm,Land Reclamation
San Francisco Bay,San Francisco_Bay,USA,1938-1963,Altered Flow Regime,"Construction of dams as part of the ""Central Valley Project"". This reduced freshwater inflow and sediment inputs.",Rodriguez-Padilla & Ortiz (2017),Altered Flow Regime
San Francisco Bay,San Francisco_Bay,USA,1960-1971,Altered Flow Regime,"Implementation of the ""State Water Project"", consisting of dam construction (e.g. Oroville Dam) and infrastructure to divert water to Southern California (pumps, aquaducts, tunnels).",https://en.wikipedia.org/wiki/California_State_Water_Project,Altered Flow Regime
San Francisco Bay,San Francisco_Bay,USA,1922,Channel Deepening,Entrance Channel dredged to depth of -12.2m MLLW,Rodriguez-Padilla & Ortiz (2017),Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1933,Channel Deepening,Port of Stockton officially opened to ocean-going vessels with a maintenance depth of -7.9m MLLW,https://en.wikipedia.org/wiki/Stockton_Deepwater_Shipping_Channel,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1948,Channel Deepening,San Joaquin Maintenance Depth up to Stockton increased to -9.1m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1965,Channel Deepening,Shipping Channel San Francisco Bay (south) maintained at -9.1m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1991,Channel Deepening,San Joaquin Maintenance Depth up to Stockton increased to -10.6m MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,2013,Channel Deepening,Modern Entrance Channel maintenance depth is -16.8m MLLW with a width of 610 meters,Rodriguez-Padilla & Ortiz (2017),Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1932-1934,Channel Deepening,Entrance Channel maintenance depth increased to -13.7m MLLW,Rodriguez-Padilla & Ortiz (2017),Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1942-1959,Channel Deepening,Entrance Channel maintenance depth increased to -15.2m MLLW,Rodriguez-Padilla & Ortiz (2017),Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1948,Channel Deepening,Maintenance depth Sacramento River -3.0m MLLW (Cache Slough - Sacramento),https://historicalcharts.noaa.gov/,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1948,Channel Deepening,Maintenance depth Sacramento River -6.1m  MLLW(Mouth - Cache Slough),https://historicalcharts.noaa.gov/,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1963,Channel Deepening,Maintenance depth Sacramento Ship Channel -9.1 MLLW,https://historicalcharts.noaa.gov/,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1928,Channel Deepening & Straightening,"Construction of Stockton Deep Water Shipping Channel, including widening, straightening and cutting though islands",,Channel Deepening
San Francisco Bay,San Francisco_Bay,USA,1848-1883,Channel Shallowing,Hydraulic gold mining in the watershed led to big influx of sediment,Rodriguez-Padilla & Ortiz (2017); Jaffe et al. (1998; 2007),Channel Shallowing
San Francisco Bay,San Francisco_Bay,USA,1862,Land Reclamation,Start of Levee construction following 1862 flood,Moftakhari et al. (2015),Land Reclamation
San Francisco Bay,San Francisco_Bay,USA,1884,Miscellaneous,Sawyer Decision: Ban on hydraulic mining debris discharge,Jaffe et al. (1998; 2007),Other
San Francisco Bay,San Francisco_Bay,USA,1946-1963,Network Reconfiguration,Construction of the Sacramento Deep Water Ship Channel,https://en.wikipedia.org/wiki/Sacramento_Deep_Water_Ship_Channel,Channel Network Changes
Savannah River,Savannah,USA,1954-1962,Altered Flow Regime,Dam construction in catchment Savannah e.g. J Strom Thurmond Dam (1954); Hartwell Dam (1962); Richard B. Russell Dam (1985),https://en.wikipedia.org/wiki/J._Strom_Thurmond_Dam  https://en.wikipedia.org/wiki/Hartwell_Dam https://en.wikipedia.org,Altered Flow Regime
Savannah River,Savannah,USA,1886-1896,Changes to the Inlet Geometry,Jettying of the inlet (north & south jetty),,Inlet Geometry Changes
Savannah River,Savannah,USA,1994,Channel Deepening,Channel deepened to -12.8m,Bassett (2022),Channel Deepening
Savannah River,Savannah,USA,2015,Channel Deepening,Channel deepened to -14.3 as part of Savannah Harbor Expansion Project,Bassett (2022),Channel Deepening
Savannah River,Savannah,USA,1866-1869,Channel Deepening,Channel deepening started by dredging and removing cribs / sunken ships from Civil War. Resulting depth -5.5m HW,Bassett (2022),Channel Deepening
Savannah River,Savannah,USA,1890's,Channel Deepening,Channel deepened to -7.9m,Bassett (2022),Channel Deepening
Savannah River,Savannah,USA,1970,Miscellaneous,Back River Tide Gate construction,https://www.sas.usace.army.mil/Media/News-Releases/Article/1410454/removal-of-tide-gate-in-back-river-moves-shep-closer-,Other
Savannah River,Savannah,USA,2016,Miscellaneous,Back River Tide Gate removal,https://www.sas.usace.army.mil/Media/News-Releases/Article/1410454/removal-of-tide-gate-in-back-river-moves-shep-closer-,Other
Savannah River,Savannah,USA,1881,Network Reconfiguration,Construction of Cross Tides Dam (between front & back channels),Bassett (2022),Channel Network Changes
St. Johns River,St. Johns,USA,1968,Altered Flow Regime,Upstream reservoir construction (Kirkpatrick - Rodman Dam),https://en.wikipedia.org/wiki/Rodman_Reservoir,Altered Flow Regime
St. Johns River,St. Johns,USA,1881-1895,Changes to the Inlet Geometry,Construction Jetties Mayport River Entrance,https://jacksonvillebeaches.info/thread/2290/construction-jettys,Inlet Geometry Changes
St. Johns River,St. Johns,USA,1870s,Channel Deepening,First systematic dredging to create/maintain a 3m deep channel,Talke et al. (2021),Channel Deepening
St. Johns River,St. Johns,USA,1890-1893,Channel Deepening,Controlling depth increased to 3.7-4.6m,Talke et al. (2021),Channel Deepening
St. Johns River,St. Johns,USA,1899-1900,Channel Deepening,Controlling depth increased to 5.5m up to Jacksonville,Talke et al. (2021),Channel Deepening
St. Johns River,St. Johns,USA,1915-1916,Channel Deepening,Controlling depth increased to 7.9m-9.1m up to Jacksonville,Talke et al. (2021),Channel Deepening
St. Johns River,St. Johns,USA,2014-2022,Channel Deepening,Controlling depth increased to 5.5m up to Jacksonville,https://www.saj.usace.army.mil/Portals/44/docs/Planning/EnvironmentalBranch/EnvironmentalDocs/FINAL_Jacksonville_Harbor_,Channel Deepening
St. Johns River,St. Johns,USA,1952,Channel Straightening,Dames Point cutoff: new cut through wetlands shortens the shipping channel by ~3 km just downstream of Dames Point.,Talke et al. (2021),Channel Straightening
St. Johns River,St. Johns,USA,1950s,Channel Straightening,Additional ~1 km shortcut near Longbranch,Talke et al. (2021),Channel Straightening
